step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.970324783702382,0,0.0,1.0,0,0.0,1.0,0,0.0,0.34808886056139815,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4149049549689444,1,0.0,0.0,0,0.0,0.30361732302940336,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.20019856618791,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6113115186895323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7015296311130174,1,0.0,0.35833511284946057,0,0.0,0.9320884428680366,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,3,7.0,0.4666666666666667,5.574908864180054,0,0.0,1.0,0,0.0,1.0,1,3.0,0.00011858656047966845,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,4.0,0.005377617234588922,0,0.0,0.42944594935465524,0,0.0,0.21419541948197554,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,7.0
20.0,2,8.0,0.4,7.297476622728084,0,0.0,0.5415157533950834,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,0.6396201687623718,0,0.0,0.2707175265641476,0,0.0,0.9305843343615257,0,0.0,0.677727091379935,1,0.0,0.41965056188701605,0,0.0,0.49719991142111886,0,0.0,0.6502183805066778,0,0.0,0.5252107348534832,2,8.0
25.0,3,6.0,0.25,7.680699326529272,0,0.0,0.7052342640795669,0,2.0,0.9286601551590178,0,0.0,1.0,0,0.0,0.36475235863278876,0,0.0,0.9140750031709074,0,2.0,0.951905310270333,1,0.0,0.08542546769395924,2,6.0,0.14260558822845337,0,0.0,0.673396504799918,0,0.0,0.6988703800462005,0,0.0,0.8023675862087041,0,0.0,0.5659318469437334,3,10.0
30.0,2,1.0,0.034482758620689655,7.169812533368018,0,0.0,0.7172403180415874,1,0.0,0.3511711601645584,0,0.0,1.0,0,0.0,0.900989459334948,0,1.0,0.3347453234117754,0,2.0,0.3086870486879028,0,0.0,0.6802578818674465,0,4.0,0.6727535961428156,0,0.0,0.42496745820651377,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4059766782962917,2,8.0
35.0,8,24.0,0.7058823529411765,6.746370634108498,0,0.0,0.6505063004729279,1,1.0,0.30312465536193683,0,0.0,0.8172000336148756,1,0.0,0.0,1,6.0,0.6081655157251695,2,11.0,0.31101051159623044,0,2.0,0.6134272738739984,1,1.0,0.15973332642132934,1,2.0,0.39144053496877107,0,0.0,1.0,0,0.0,0.511612872035834,1,6.0,0.3782420965466244,8,29.0
40.0,8,44.0,1.1891891891891893,6.298801652462372,0,0.0,0.7849685950126106,0,0.0,0.9696238516697008,0,0.0,0.4791406360708732,0,0.0,0.6996311999955308,1,11.0,0.3201494809489458,0,9.0,0.3071416937913592,1,3.0,0.35779577793676687,2,11.0,0.33829015554730574,2,9.0,0.5031480423384831,0,2.0,0.3410024616414305,0,0.0,0.48041638407373277,2,11.0,0.2299241829374691,8,56.0
45.0,1,0.0,0.0,8.130108824732057,0,0.0,0.6973957793054025,0,0.0,0.8000813627858917,0,2.0,0.6619578645368204,0,0.0,1.0,0,0.0,0.20994883682412757,0,0.0,0.9406431195998217,0,2.0,0.7233371507237848,1,0.0,0.2884865208542228,0,1.0,0.536266206582274,0,2.0,0.9552902447293604,0,0.0,0.5229474560251038,0,0.0,0.8197830395011735,1,7.0
50.0,3,10.0,0.22727272727272727,8.312181560808998,0,0.0,0.7081924923341344,0,2.0,0.5999146326651423,0,2.0,0.6083884179725799,0,0.0,0.9162456124909659,1,8.0,0.6129407615938247,0,4.0,0.6674142166592834,0,0.0,0.7651469490806143,1,5.0,0.4304763127147706,0,0.0,0.9340688529451525,1,0.0,0.0,0,0.0,0.6707986173035025,0,0.0,0.5860522355944108,3,21.0
